上海交通大学,458,0.0000992716323290859
东北大学,2924,0.0006337778448258671
东南大学,2868,0.0006216398286458916
中南大学,6072,0.0013161077543716365
中国人民大学,1641,0.00035568722413106975
中国农业大学,2620,0.0005678857569917141
中国海洋大学,2840,0.0006155708205559038
中国科学技术大学,729,0.00015801096062861053
中央民族大学,1570,0.0003402979536171722
中山大学,5653,0.001225289383310748
兰州大学,3340,0.0007239459650199714
北京大学,1016,0.0002202182935509853
北京理工大学,2740,0.0005938957916630903
北京航空航天大学,2453,0.0005316884587407155
华东师范大学,1564,0.00033899745188360335
华中科技大学,4625,0.001002470086292625
华南理工大学,3701,0.0008021928193230281
南京大学,2323,0.0005035109211800579
南开大学,3068,0.0006649898864315186
厦门大学,3256,0.000705738940750008
吉林大学,5238,0.0011353380134055719
同济大学,2889,0.0006261915847133824
哈尔滨工业大学,3387,0.0007341332285995938
四川大学,6253,0.001355339556667629
复旦大学,582,0.00012614866815617465
大连理工大学,1952,0.0004230965639877198
天津大学,3590,0.0007781335372520051
山东大学,4955,0.0010739976816389095
武汉大学,5325,0.0011541952885423196
浙江大学,3206,0.0006949014263036013
清华大学,834,0.0001807697409660647
湖南大学,3938,0.0008535626377989962
电子科技大学,2874,0.0006229403303794604
西北农林科技大学,4356,0.0009441642585709567
西北工业大学,2859,0.0006196890760455383
西安交通大学,2682,0.0005813242749052584
重庆大学,4466,0.0009680067903530515
